Temperature degrees Celsius,Vapour pressure of water mm Hg
0,4.579
1,4.926
2,5.294
3,5.685
4,6.101
5,6.543
6,7.013
7,7.513
8,8.045
9,8.609
10,9.209
11,9.844
12,10.518
13,11.231
14,11.987
15,12.788
16,13.634
17,14.53
18,15.477
19,16.477
20,17.535
21,18.65
22,19.827
23,21.068
24,22.387
25,23.756
26,25.209
27,26.739
28,28.349
29,30.043
30,31.824
31,33.695
32,35.663
33,37.729
34,39.898
35,42.175
36,44.563
37,47.067
38,49.692
39,52.442
40,55.324
41,58.34
42,61.5
43,64.8
44,68.26
45,71.88
46,75.65
47,79.6
48,83.71
49,88.02
50,92.51
51,97.2
52,102.09
53,107.2
54,112.51
55,118.04
56,123.8
57,129.82
58,136.08
59,142.6
60,149.38
61,156.43
62,163.77
63,171.38
64,179.31
65,187.54
66,196.09
67,204.96
68,214.17
69,223.73
70,233.7
71,243.9
72,254.6
73,265.7
74,277.2
75,289.1
76,301.4
77,314.1
78,327.3
79,341
80,355.1
81,369.7
82,384.9
83,400.6
84,416.8
85,433.6
86,450.9
87,468.7
88,487.1
89,506.1
90,525.76
91,546.05
92,566.99
93,588.6
94,610.9
95,633.9
96,657.62
97,682.07
98,707.27
99,733.24
100,760
