Data Source,World Development Indicators,,
Last Updated Date,2/05/2018,,
,,,
Year,GDP (constant 2010 US$),Total population,Life expectancy at birth
1960,198403347596.226,10276477,70.8170731707317
1961,203313761339.706,10483000,70.9731707317073
1962,206011053629.746,10742000,70.9424390243903
1963,218810461305.137,10950000,70.9117073170732
1964,234073562987.134,11167000,70.8809756097561
1965,248067635932.132,11388000,70.850243902439
1966,253933458571.874,11651000,70.819512195122
1967,269925645553.726,11799000,70.8692682926829
1968,283669145945.559,12009000,70.9190243902439
1969,303669685479.496,12263000,70.9687804878049
1970,325434740766.851,12507000,71.0185365853659
1971,338462896934.326,12937000,71.0682926829268
1972,351702827324.153,13177000,71.4575609756098
1973,360844684021.89,13380000,71.8468292682927
1974,375627656360.08,13723000,72.2360975609756
1975,380634257632.033,13893000,72.6253658536586
1976,390496308345.481,14033000,73.0146341463415
1977,404584143923.277,14192000,73.3443902439024
1978,408218254242.732,14358000,73.6741463414634
1979,424775441917.043,14514000,74.0039024390244
1980,437741359095.505,14692000,74.3336585365854
1981,452433801995.132,14927000,74.6634146341463
1982,467451989213.874,15178000,74.9048780487805
1983,457023321210.849,15369000,75.1463414634146
1984,478187002370.607,15544000,75.3878048780488
1985,503288714107.853,15758000,75.6292682926829
1986,523924576308.847,16018400,75.8707317073171
1987,537433670118.687,16263900,76.1517073170732
1988,568480417754.417,16532200,76.4326829268293
1989,590542118612.778,16814400,76.7136585365854
1990,611392988230.359,17065100,76.9946341463415
1991,609098228622.501,17284000,77.2756097560976
1992,611756722581.728,17495000,77.3780487804878
1993,636606245168.691,17667000,77.8780487804878
1994,662399052173.537,17855000,77.8780487804878
1995,688161952131.715,18072000,77.8292682926829
1996,715336141373.205,18311000,78.0780487804878
1997,743574859816.367,18517000,78.4804878048781
1998,776590622740.841,18711000,78.6317073170732
1999,815473016603.615,18926000,78.9317073170732
2000,847014442957.207,19153000,79.2341463414634
2001,863362281304.841,19413000,79.6341463414634
2002,896627000185.363,19651400,79.9365853658537
2003,924138249925.787,19895400,80.2390243902439
2004,962449985006.192,20127400,80.490243902439
2005,993282533523.894,20394800,80.8414634146341
2006,1022863027574.33,20697900,81.0414634146342
2007,1061217602478.34,20827600,81.2926829268293
2008,1100462922393.92,21249200,81.3951219512195
2009,1120402839535.96,21691700,81.5439024390244
2010,1142876772659.21,22031750,81.6951219512195
2011,1169995189300.16,22340024,81.8951219512195
2012,1212515734975.18,22742475,82.0463414634146
2013,1243675644409.11,23145901,82.1487804878049
2014,1276128831536.8,23504138,82.3
2015,1307031702029.1,23850784,82.4
2016,1343181238465.26,24210809,82.5
