"Test matches, career batting records",,,,,,,,,,
,,,,,,,,,,
Player,Span,Mat,Inns,NO,Runs,HS,Ave,Hundred,Fifty,Duck
EL a'Beckett (Australia),1928-1932,4,7,0,143,41,20.42,0,0,0
AC Agar (Australia),2013-2017,4,7,1,195,98,32.5,0,1,0
TM Alderman (Australia),1981-1991,41,53,22,203,26*,6.54,0,0,13
G Alexander (Australia),1880-1884,2,4,0,52,33,13,0,0,0
HH Alexander (Australia),1933-1933,1,2,1,17,17*,17,0,0,1
FE Allan (Australia),1879-1879,1,1,0,5,5,5,0,0,0
PJ Allan (Australia),1965-1965,1,-,-,-,-,-,-,-,-
RC Allen (Australia),1887-1887,1,2,0,44,30,22,0,0,0
TJE Andrews (Australia),1921-1926,16,23,1,592,94,26.9,0,4,0
J Angel (Australia),1993-1995,4,7,1,35,11,5.83,0,0,2
KA Archer (Australia),1950-1951,5,9,0,234,48,26,0,0,1
RG Archer (Australia),1953-1956,19,30,1,713,128,24.58,1,2,4
WW Armstrong (Australia),1902-1921,50,84,10,2863,159*,38.68,6,8,6
CL Badcock (Australia),1936-1938,7,12,1,160,118,14.54,1,0,4
GJ Bailey (Australia),2013-2014,5,8,1,183,53,26.14,0,1,1
CT Bancroft (Australia),2017-2018,8,14,1,402,82*,30.92,0,3,1
AC Bannerman (Australia),1879-1893,28,50,2,1108,94,23.08,0,8,3
C Bannerman (Australia),1877-1879,3,6,2,239,165*,59.75,1,0,0
W Bardsley (Australia),1909-1926,41,66,5,2469,193*,40.47,6,14,6
SG Barnes (Australia),1938-1948,13,19,2,1072,234,63.05,3,5,1
BA Barnett (Australia),1938-1938,4,8,1,195,57,27.85,0,1,0
JE Barrett (Australia),1890-1890,2,4,1,80,67*,26.66,0,1,1
GR Beard (Australia),1980-1980,3,5,0,114,49,22.8,0,0,0
MA Beer (Australia),2011-2012,2,3,1,6,2*,3,0,0,0
J Benaud (Australia),1972-1973,3,5,0,223,142,44.6,1,0,0
R Benaud (Australia),1952-1964,63,97,7,2201,122,24.45,3,9,8
MJ Bennett (Australia),1984-1985,3,5,2,71,23,23.66,0,0,0
MG Bevan (Australia),1994-1998,18,30,3,785,91,29.07,0,6,4
AJ Bichel (Australia),1997-2003,19,22,1,355,71,16.9,0,1,3
JM Bird (Australia),2012-2017,9,9,6,43,19*,14.33,0,0,1
JM Blackham (Australia),1877-1894,35,62,11,800,74,15.68,0,4,6
DD Blackie (Australia),1928-1929,3,6,3,24,11*,8,0,0,2
GS Blewett (Australia),1995-2000,46,79,4,2552,214,34.02,4,15,6
DE Bollinger (Australia),2009-2010,12,14,7,54,21,7.71,0,0,3
GJ Bonnor (Australia),1880-1888,17,30,0,512,128,17.06,1,2,5
DC Boon (Australia),1984-1996,107,190,20,7422,200,43.65,21,32,16
BC Booth (Australia),1961-1966,29,48,6,1773,169,42.21,5,10,5
AR Border (Australia),1978-1994,156,265,44,11174,205,50.56,27,63,11
HF Boyle (Australia),1879-1884,12,16,4,153,36*,12.75,0,0,2
NW Bracken (Australia),2003-2005,5,6,2,70,37,17.5,0,0,0
DG Bradman (Australia),1928-1948,52,80,10,6996,334,99.94,29,13,7
RJ Bright (Australia),1977-1986,25,39,8,445,33,14.35,0,0,6
EH Bromley (Australia),1933-1934,2,4,0,38,26,9.5,0,0,0
WA Brown (Australia),1934-1948,22,35,1,1592,206*,46.82,4,9,1
W Bruce (Australia),1885-1895,14,26,2,702,80,29.25,0,5,1
PJP Burge (Australia),1955-1966,42,68,8,2290,181,38.16,4,12,5
JW Burke (Australia),1951-1959,24,44,7,1280,189,34.59,3,5,0
EJK Burn (Australia),1890-1890,2,4,0,41,19,10.25,0,0,1
JA Burns (Australia),2014-2018,14,25,0,919,170,36.76,3,4,4
FJ Burton (Australia),1887-1888,2,4,2,4,2*,2,0,0,0
ST Callaway (Australia),1892-1895,3,6,1,87,41,17.4,0,0,1
IW Callen (Australia),1978-1978,1,2,2,26,22*,-,0,0,0
GD Campbell (Australia),1989-1990,4,4,0,10,6,2.5,0,0,2
