Mat,Inns,NO,Runs,HS,Ave,100,50,0
3,6,0,213,78,35.5,0,1,0
3,6,0,136,68,22.66,0,1,0
3,6,1,98,30,19.6,0,0,0
3,6,0,74,26,12.33,0,0,0
3,6,0,66,13,11,0,0,0
2,4,0,64,29,16,0,0,0
3,6,0,63,24,10.5,0,0,0
2,4,0,54,35,13.5,0,0,0
2,4,0,43,20,10.75,0,0,0
3,6,0,43,27,7.16,0,0,0
3,6,0,42,21,7,0,0,0
2,4,0,41,18,10.25,0,0,0
3,6,0,39,17,6.5,0,0,0
3,6,0,39,29,6.5,0,0,0
3,6,0,39,14,6.5,0,0,0
2,4,0,34,27,8.5,0,0,0
2,4,0,29,16,7.25,0,0,0
3,6,0,29,11,4.83,0,0,0
1,2,0,20,20,10,0,0,0
2,4,1,20,18,6.66,0,0,0
2,4,0,17,10,4.25,0,0,0
3,5,1,15,7,3.75,0,0,0
3,6,0,15,8,2.5,0,0,0
1,2,0,12,8,6,0,0,0
3,6,0,8,5,1.33,0,0,0
1,2,0,7,5,3.5,0,0,0
1,2,0,3,3,1.5,0,0,1
1,2,0,2,2,1,0,0,0
3,6,0,213,78,35.5,0,1,0
3,6,0,136,68,22.66,0,1,0
3,6,1,98,30,19.6,0,0,0
3,6,0,74,26,12.33,0,0,0
3,6,0,66,13,11,0,0,0
2,4,0,64,29,16,0,0,0
3,6,0,63,24,10.5,0,0,0
2,4,0,54,35,13.5,0,0,0
2,4,0,43,20,10.75,0,0,0
3,6,0,43,27,7.16,0,0,0
3,6,0,42,21,7,0,0,0
2,4,0,41,18,10.25,0,0,0
3,6,0,39,17,6.5,0,0,0
3,6,0,39,29,6.5,0,0,0
3,6,0,39,14,6.5,0,0,0
2,4,0,34,27,8.5,0,0,0
2,4,0,29,16,7.25,0,0,0
3,6,0,29,11,4.83,0,0,0
1,2,0,20,20,10,0,0,0
2,4,1,20,18,6.66,0,0,0
2,4,0,17,10,4.25,0,0,0
3,5,1,15,7,3.75,0,0,0
3,6,0,15,8,2.5,0,0,0
1,2,0,12,8,6,0,0,0
3,6,0,8,5,1.33,0,0,0
1,2,0,7,5,3.5,0,0,0
