Data Source,World Development Indicators,
Last Updated Date,2/05/2018,
,,
Country Name,GDP per capita (constant 2010 US$),Life expectancy at birth
Angola,2630.62357296297,41.696
Albania,1947.8835449081,71.836
Arab World,4256.43009588647,64.3226994663583
United Arab Emirates,67606.9169233671,71.541
Argentina,5939.75691560173,71.565
Armenia,1796.93643165951,67.879
Antigua and Barbuda,10380.307825656,71.351
Australia,35827.0967196418,76.9946341463415
Austria,33932.3911441928,75.5682926829269
Azerbaijan,3118.54658676172,64.827
Burundi,329.157780967159,48.053
Belgium,33105.1552433006,76.0519512195122
Benin,609.345623847634,53.812
Burkina Faso,341.352617189917,49.454
Bangladesh,399.483940851139,58.401
Bulgaria,4162.8159827076,71.6414634146342
Bahrain,17934.7430502843,72.39
"Bahamas, The",23248.8936715994,70.705
Belarus,3102.46277600103,70.8365853658537
Belize,2849.03459347252,71.246
Bolivia,1358.24108435809,55.104
Brazil,7986.04587296904,65.3
Barbados,13830.0119081306,71.383
Brunei Darussalam,37071.735304991,72.916
Bhutan,789.217334156516,52.879
Botswana,3860.00860322439,61.905
Central African Republic,468.690673479274,48.767
Canada,36489.2663535682,77.3770731707317
Central Europe and the Baltics,7153.45762794436,70.6563673229236
Switzerland,64343.5184247218,77.2424390243902
Chile,5947.76482800944,73.68
China,730.772489044822,69.293
Cote d'Ivoire,1448.033637228,52.486
Cameroon,1349.632653668,52.209
"Congo, Dem. Rep.",668.327408185356,49.043
"Congo, Rep.",2713.10128518113,55.954
Colombia,4319.93036847696,68.292
Comoros,871.249029467176,56.677
Cabo Verde,941.801424719417,64.877
Costa Rica,4911.55433436922,75.638
Caribbean small states,5839.74670813356,69.563255509527
Cuba,4225.9439754328,74.644
Cyprus,21156.9513448625,76.554
Czech Republic,13988.6576013303,71.3839024390244
Germany,32337.1010226197,75.227756097561
Djibouti,1560.99938288393,56.678
Denmark,44569.0111242296,74.8053658536585
Dominican Republic,2581.13424375231,67.866
Algeria,3550.03267154172,66.725
East Asia & Pacific (excluding high income),945.326046531337,68.1151334349222
Early-demographic dividend,1897.10216233094,60.6035281731166
East Asia & Pacific,4182.13147686985,69.1299358123777
Europe & Central Asia (excluding high income),6370.99377981912,68.2979440523516
Europe & Central Asia,17571.5707041596,72.0771679099716
Ecuador,3720.93663277112,68.99
"Egypt, Arab Rep.",1560.0833509149,64.58
Euro area,28829.7388428171,75.9114532653494
Spain,22464.7329153987,76.8375609756098
Ethiopia,207.219781415404,47.1
European Union,24756.8332829588,74.8688090391416
Fragile and conflict affected situations,1141.71045083064,54.5848366091951
Finland,33514.9230312744,74.8131707317073
Fiji,2926.35162098871,65.51
France,32596.0051876225,76.6
"Micronesia, Fed. Sts.",2361.38650422257,66.212
Gabon,11117.0780456695,61.215
United Kingdom,28691.2928745059,75.8804878048781
Georgia,3524.77875194114,70.268
Ghana,823.58167272907,56.755
Guinea,569.719339440412,49.949
"Gambia, The",515.329318743592,52.176
Guinea-Bissau,614.461883089477,49.071
Equatorial Guinea,507.895779429347,48.239
Greece,19383.934648323,76.9390243902439
Grenada,4771.77603989269,68.6
Greenland,27295.9523444253,65.0682926829268
Guatemala,2146.59485673931,62.261
Guyana,1480.41004859524,63.29
High income,29426.4256065082,75.4422699617752
"Hong Kong SAR, China",18250.961853647,77.3804878048781
Honduras,1543.71916019091,66.725
Heavily indebted poor countries (HIPC),612.779438692489,49.6632764891295
IBRD only,2360.33255972743,65.4348064349184
IDA & IBRD total,2042.27730125972,63.1534241812471
IDA total,734.933672398027,53.7682180162824
IDA blend,1078.83195062142,55.1753610963541
Indonesia,1707.59791770347,63.281
IDA only,554.677199928734,53.056515194935
India,536.162785952242,57.915
Ireland,23714.7554851339,74.8090975609756
"Iran, Islamic Rep.",4009.86960220554,63.828
Iraq,4079.34447482414,66.118
Iceland,31262.7091951215,78.0363414634146
Israel,21141.296986775,76.6073170731707
Italy,30839.278333373,76.9707317073171
Jamaica,4266.5811782956,72.065
Jordan,2440.39462527441,69.872
Japan,37906.1637024172,78.8368292682927
Kazakhstan,5890.27604343,68.3365853658537
Kenya,930.053026391684,57.536
Kyrgyz Republic,1095.93262805238,68.2975609756098
Kiribati,1691.13640301147,60.371
"Korea, Rep.",8464.93705011658,71.5975609756098
Latin America & Caribbean (excluding high income),6290.40269261815,67.5049477235887
Lao PDR,462.001627182118,53.589
Lebanon,4230.91224414035,70.222
Liberia,409.566918129436,47.183
St. Lucia,6493.0886265494,71.108
Latin America & Caribbean,6404.15003787528,67.7861914138206
Least developed countries: UN classification,505.545253852103,51.7209722022559
Low income,460.478179043661,49.8823913084017
Sri Lanka,1189.39329197945,69.511
Lower middle income,965.202336682459,59.529941813363
Low & middle income,1987.88608221318,63.1061966744095
Lesotho,681.785187879699,59.206
Late-demographic dividend,2754.531984293,69.0403405914382
Luxembourg,65921.9101702064,75.0104146341463
"Macao SAR, China",21532.300213223,77.296
Morocco,1720.78048670646,64.733
Madagascar,492.398908832677,51.003
Middle East & North Africa,4925.43423334561,65.7548049821341
Mexico,7257.93108174907,70.836
Middle income,2113.12608375979,64.1836773495152
"Macedonia, FYR",3853.92191296705,71.152
Mali,481.254851922966,45.746
Malta,12026.4033042837,75.9356829268293
Myanmar,197.209845108435,58.743
Middle East & North Africa (excluding high income),2803.86127206285,65.1328157457343
Mongolia,1761.2173863106,60.268
Mozambique,172.910866337086,42.915
Mauritania,1018.27052039406,58.415
Mauritius,3707.85678044002,69.4048780487805
Malawi,330.591120164555,46.576
Malaysia,4534.79516750057,70.727
North America,36335.9250323235,75.4312646802252
Namibia,3509.3562424874,61.539
Niger,382.485944993439,43.54
Nigeria,1374.43676145709,45.898
Nicaragua,1138.04746955255,64.169
Netherlands,35483.299495835,76.8780487804878
Norway,60268.6579400941,76.5373170731707
Nepal,357.206430753777,54.26
New Zealand,25238.3072472515,75.3780487804878
OECD members,27386.1580677907,74.6964245572964
Oman,14903.1587676903,67.181
Pakistan,741.801449833254,60.05
Panama,4023.20048525893,72.987
Peru,2679.93479305847,65.541
Philippines,1525.81242819074,65.256
Papua New Guinea,1490.9799983082,58.865
Poland,5946.67084991613,70.890243902439
Pre-demographic dividend,1028.09554173329,49.379869950782
Puerto Rico,17320.804241436,74.1691707317073
Portugal,16687.2650889218,73.9658536585366
Paraguay,2671.12409949787,68.014
Pacific island small states,2495.03544974899,63.6113533222587
Post-demographic dividend,29338.9211855238,75.4796266396618
Romania,5345.85432763236,69.7412195121951
Russian Federation,9534.49562145996,68.8860975609756
Rwanda,360.160784814253,34.217
South Asia,548.838631161255,58.191486661581
Saudi Arabia,18002.7387272615,69.017
Sudan,764.731508712802,55.5
Senegal,846.85880737083,57.202
Singapore,22178.4893943358,75.2951219512195
Solomon Islands,1279.44226371672,56.638
Sierra Leone,416.230301597778,37.348
El Salvador,2155.96359542415,63.99
Sub-Saharan Africa (excluding high income),1251.15048237162,49.8747298094765
Sub-Saharan Africa,1252.00520281789,49.8772041341593
Suriname,6160.94597538705,67.393
Sweden,37513.0798044986,77.5368292682927
Swaziland,2720.02952535501,60.369
Seychelles,7542.55943086465,68.1073170731707
Chad,517.134639876824,46.952
East Asia & Pacific (IDA & IBRD countries),955.59064360008,68.0923293172129
Europe & Central Asia (IDA & IBRD countries),6321.20294617903,68.5327598517853
Togo,545.206096403149,55.888
Thailand,2502.71271791001,70.25
Tajikistan,1277.58689607086,63.149
Turkmenistan,3713.35617421929,62.811
Latin America & the Caribbean (IDA & IBRD countries),6336.34587326689,67.5580997210711
Middle East & North Africa (IDA & IBRD countries),2809.9723069797,65.1069746056768
Tonga,2544.34119037968,69.603
South Asia (IDA & IBRD),548.838631161255,58.191486661581
Sub-Saharan Africa (IDA & IBRD countries),1252.00520281789,49.8772041341593
Trinidad and Tobago,6540.71427059516,68.007
Tunisia,2227.4705559286,68.788
Turkey,6774.40675010578,64.256
Tanzania,494.202501528075,50.206
Uganda,302.126106733825,45.509
Ukraine,3965.38272260404,70.1365853658537
Upper middle income,3197.7927382065,68.5978068935488
Uruguay,6877.28717457158,72.571
United States,36312.4141825874,75.2146341463415
Uzbekistan,997.487614193014,66.481
St. Vincent and the Grenadines,3504.51400638384,70.14
"Venezuela, RB",11830.6326820489,69.804
Vietnam,431.881723786076,70.536
Vanuatu,2564.65398512152,63.072
World,7164.7543614102,65.4351535994167
Samoa,2333.76468229484,64.851
"Yemen, Rep.",972.582823577522,57.877
South Africa,5934.22411615196,62.062
Zambia,1044.97060684947,45.003
Zimbabwe,1272.05103240594,57.944
