Data Source,World Development Indicators,
Last Updated Date,2/05/2018,
,,
Country Name,GPD per capita,Life expectancy at birth
Afghanistan,561.778746269502,63.673
Angola,3308.70023298492,61.547
Albania,4124.98239042866,78.345
Arab World,6162.34727236922,71.198456370659
United Arab Emirates,37622.2074564244,77.256
Argentina,12440.3209818055,76.577
Armenia,3614.6883569981,74.618
Antigua and Barbuda,14462.1762794658,76.364
Australia,49755.315480305,82.5
Austria,44757.6348988008,80.890243902439
Azerbaijan,3878.70925736637,72.026
Burundi,285.727442064745,57.481
Belgium,41271.4821478247,80.9926829268293
Benin,789.440410685648,60.907
Burkina Faso,627.103078753299,60.361
Bangladesh,1358.77902884543,72.489
Bulgaria,7469.02524680201,74.6146341463415
Bahrain,22579.0934203237,76.9
"Bahamas, The",28785.4776705382,75.675
Bosnia and Herzegovina,4808.40542514772,76.911
Belarus,4989.42776304985,73.8268292682927
Belize,4744.73639747761,70.384
Bolivia,3104.95608914095,69.125
Brazil,8649.94849175062,75.509
Barbados,15891.6265491446,75.906
Brunei Darussalam,26939.4175086523,77.203
Bhutan,2773.54713530224,70.197
Botswana,6924.14977548052,66.797
Central African Republic,382.213174317687,52.171
Canada,42348.9454605979,82.3005121951219
Central Europe and the Baltics,12740.799963943,76.6031767774002
Switzerland,79887.5182392741,82.8975609756098
Chile,13792.9260543919,79.522
China,8123.1808725464,76.252
Cote d'Ivoire,1534.97372365857,53.582
Cameroon,1374.51417241821,58.073
"Congo, Dem. Rep.",449.371520270088,59.621
"Congo, Rep.",1528.24472001004,64.625
Colombia,5805.6053854484,74.381
Comoros,775.080084631843,63.701
Cabo Verde,2997.75267953531,72.798
Costa Rica,11824.6381020004,79.831
Caribbean small states,9206.76556218532,73.192408496541
Cyprus,23541.4882484476,80.508
Czech Republic,18483.7164797716,78.3317073170732
Germany,42161.3196584389,80.6414634146342
Denmark,53578.7565680928,80.7048780487805
Dominican Republic,6722.22353575768,73.861
Algeria,3916.88157088626,76.078
East Asia & Pacific (excluding high income),6580.79364078079,74.4925325576175
Early-demographic dividend,3280.67066529288,69.7662711291935
East Asia & Pacific,9783.66107999547,75.3957319515201
Europe & Central Asia (excluding high income),7167.64866203512,72.8667826325873
Europe & Central Asia,22238.4630940603,77.2821081821612
Ecuador,6018.52686848782,76.327
"Egypt, Arab Rep.",3477.851742609,71.484
Euro area,35024.6511365138,81.5596178979447
Spain,26616.4881048468,82.8317073170732
Estonia,17736.8026953521,77.7365853658537
Ethiopia,706.75747512216,65.475
European Union,32249.8691398065,80.6204897315598
Fragile and conflict affected situations,1479.97796185,62.3965268099867
Finland,43433.032224358,81.7804878048781
Fiji,5233.46942283754,70.269
France,36857.1192305925,82.2731707317073
"Micronesia, Fed. Sts.",3143.74910660682,69.195
Gabon,7179.34066115314,66.105
United Kingdom,40412.0336199885,80.9560975609756
Georgia,3865.78569331827,73.261
Ghana,1513.46103432745,62.742
Guinea,661.52777340536,60.015
"Gambia, The",473.190436565448,61.193
Guinea-Bissau,641.595964716703,57.403
Equatorial Guinea,8747.35347324673,57.681
Greece,17890.5749431119,81.0365853658537
Grenada,9841.76405036101,73.659
Guatemala,4146.7441286273,73.409
Guam,35562.5675277478,79.575
Guyana,4529.13941162907,66.65
High income,40825.8535460783,80.5267132863819
"Hong Kong SAR, China",43740.9928819793,84.2268292682927
Honduras,2361.16020452934,73.575
Heavily indebted poor countries (HIPC),875.315137063674,62.0817538874784
Croatia,12149.1895839418,78.0219512195122
Haiti,739.595436253749,63.33
Hungary,12820.0881963053,75.5682926829269
IBRD only,5528.88038128397,72.762707850041
IDA & IBRD total,4459.36696242753,70.4686473478014
IDA total,1272.48095113256,63.6207191186284
IDA blend,1772.21525507544,61.6624482712323
Indonesia,3570.29488811764,69.191
IDA only,1022.0959869087,64.5896660220776
India,1709.59180811655,68.56
Ireland,64175.4377241515,81.6073170731707
"Iran, Islamic Rep.",5219.1094080464,75.953
Iraq,4609.60069352322,69.862
Iceland,60529.926756911,82.4682926829268
Israel,37180.5271115258,82.4073170731707
Italy,30668.9814289997,82.5439024390244
Jamaica,4878.57579137263,75.97
Jordan,4087.9375167203,74.329
Japan,38972.3406391468,83.9848780487805
Kazakhstan,7714.69356810299,72.3
Kenya,1455.35976536469,67.032
Kyrgyz Republic,1077.6030820999,70.9512195121951
Cambodia,1269.90723818939,68.981
Kiribati,1587.05786874662,66.317
"Korea, Rep.",27538.8061282212,82.0243902439024
Kuwait,27359.2303297594,74.694
Latin America & Caribbean (excluding high income),7954.02888413546,75.3973629108256
Lao PDR,2338.69215683656,66.683
Lebanon,8257.29439052664,79.584
Liberia,455.370741357005,62.505
St. Lucia,9364.82152461143,75.496
Latin America & Caribbean,8342.19070522669,75.5400825219711
Least developed countries: UN classification,963.989664174044,64.4451978135642
Low income,616.195542483934,62.5373734853983
Sri Lanka,3835.39481711341,75.284
Lower middle income,2077.51704556236,67.9365842073265
Low & middle income,4365.59899278399,70.4203972957987
Lesotho,1039.70407191984,54.174
Late-demographic dividend,8151.79525377551,75.7156540392224
Lithuania,14912.6865427932,74.3219512195122
Luxembourg,100738.684223143,82.2926829268293
Latvia,14071.0272283078,74.5292682926829
"Macao SAR, China",74017.1847105799,83.849
Morocco,2892.77556054736,75.821
Moldova,1900.22608813183,71.61
Madagascar,401.742269629679,65.932
Maldives,9875.278427957,77.339
Middle East & North Africa,7200.94573544809,73.4914586469442
Mexico,8208.55598433192,77.118
Middle income,4807.49390605629,71.3493408909487
"Macedonia, FYR",5237.1476704612,75.703
Mali,779.944843827232,57.966
Malta,25145.3931488601,81.7975609756098
Myanmar,1195.51537205875,66.612
Middle East & North Africa (excluding high income),3890.35830494709,72.9919202205411
Montenegro,7028.93479926881,77.116
Mongolia,3694.08255234637,69.287
Mozambique,382.069330425644,58.311
Mauritania,1101.90162661686,63.238
Mauritius,9630.94402829695,74.3948780487805
Malawi,300.307665115766,63.223
Malaysia,9508.237749643,75.3
North America,56102.0589373332,79.0549345828977
Namibia,4414.97894735036,64.388
Niger,364.165461834199,60.058
Nigeria,2175.67344162212,53.428
Nicaragua,2151.38204656346,75.404
Netherlands,45637.8867460287,81.509756097561
Norway,70867.9406104289,82.509756097561
Nepal,729.122251498504,70.253
New Zealand,39412.4852473134,81.6124390243903
OECD members,36881.1189391059,80.1243072348019
Oman,14982.3579235229,77.029
Other small states,12080.0788335767,67.6865880296221
Pakistan,1443.62501636392,66.481
Panama,13680.23600692,78.001
Peru,6049.23257792933,74.983
Philippines,2951.07192902945,69.094
Papua New Guinea,2500.09111596047,65.544
Poland,12414.0987276104,77.4512195121951
Pre-demographic dividend,1377.5391306907,59.9614390590829
Puerto Rico,30790.1047897477,79.7883170731708
Portugal,19871.7189725955,81.1268292682927
Paraguay,4077.74207258975,73.12
West Bank and Gaza,2943.4045337363,73.473
Pacific island small states,3775.69001657316,70.8953763898592
Post-demographic dividend,41021.9535136069,80.4565242789194
Qatar,59324.3387732773,78.184
Romania,9522.77104093628,75.0121951219512
Russian Federation,8748.36885284202,71.5929268292683
Rwanda,702.835601585743,67.129
South Asia,1637.50625936581,68.710533053122
Saudi Arabia,20028.6482069305,74.561
Sudan,2415.03816212562,64.486
Senegal,952.768323350168,67.146
Singapore,52962.4915685915,82.7951219512195
Solomon Islands,2005.48364332796,70.726
Sierra Leone,505.204511182641,51.835
El Salvador,4223.58457943469,73.512
Somalia,434.208809668616,56.293
Serbia,5426.19827887247,75.2390243902439
Sub-Saharan Africa (excluding high income),1466.08106230237,60.3935627977383
Sub-Saharan Africa,1467.32882324398,60.3948379885854
Small states,11054.0716859988,68.868599219465
Sao Tome and Principe,1714.68018368506,66.624
Suriname,5871.4420029876,71.405
Slovak Republic,16529.5409667954,76.5634146341463
Slovenia,21650.2127554094,80.7756097560976
Sweden,51844.7612618628,82.2048780487805
Swaziland,2770.19947507562,57.754
Seychelles,15075.7194365696,74.309756097561
Chad,664.29565189928,52.903
East Asia & Pacific (IDA & IBRD countries),6650.43576946646,74.5276559956051
Europe & Central Asia (IDA & IBRD countries),7605.10663582529,73.2490408154072
Togo,578.461693648613,60.232
Thailand,5910.62093215914,75.303
Tajikistan,795.843864367519,71.051
Turkmenistan,6389.33414279619,67.835
Latin America & the Caribbean (IDA & IBRD countries),8196.10324882545,75.4373989608739
Timor-Leste,1405.3872122875,68.881
Middle East & North Africa (IDA & IBRD countries),3901.33081308019,72.9859888575887
Tonga,3748.64179374888,73.029
South Asia (IDA & IBRD),1637.50625936581,68.710533053122
Sub-Saharan Africa (IDA & IBRD countries),1467.32882324398,60.3948379885854
Trinidad and Tobago,16040.5242352793,70.673
Tunisia,3688.64637468078,75.731
Turkey,10862.6003994208,75.755
Tanzania,877.507612002733,65.675
Uganda,580.383538538412,59.889
Ukraine,2185.72803066435,71.4763414634146
Upper middle income,7993.70539889689,75.337524450853
Uruguay,15220.5660250684,77.493
United States,57638.1590879883,78.690243902439
Uzbekistan,2110.66775421973,71.314
St. Vincent and the Grenadines,7006.59619553156,73.179
Vietnam,2170.6480543121,76.253
Vanuatu,2860.56647483229,72.133
World,10192.2977134357,72.0352643358757
Samoa,4030.01314440882,75.013
Kosovo,3661.42984742258,71.6463414634147
"Yemen, Rep.",990.334773954632,64.953
South Africa,5274.54600788616,62.774
Zambia,1269.57353678771,61.874
Zimbabwe,1029.07664867845,61.163
