Data Source,World Development Indicators,
Last Updated Date,2/05/2018,
,,
Country Name,GDP per capita,Life expectancy at birth
Afghanistan,157.187422389233,36.678
Arab World,256.420887291094,52.4748194266862
Argentina,1317.48775502669,66.449
Australia,3302.52957324747,71.0185365853659
Austria,2058.76907922607,69.9146341463415
Burundi,70.2431270893069,43.829
Belgium,2780.69618678327,70.9719512195122
Benin,114.556596466987,42.152
Burkina Faso,81.4998986817011,39.095
Bangladesh,138.247964677775,47.523
"Bahamas, The",3179.27627155317,65.943
Belize,435.690469415558,65.566
Bermuda,3387.27272727273,70.29
Bolivia,225.748298556147,45.671
Brazil,444.026267601819,59.154
Brunei Darussalam,1381.97216693132,66.928
Botswana,138.363325979259,54.609
Central African Republic,103.409867027109,41.946
Canada,4121.93280924889,72.7004878048781
Chile,954.24911733,62.311
China,113.162991554686,59.085
Cote d'Ivoire,277.637032356666,43.695
Cameroon,177.706360871479,46.104
"Congo, Dem. Rep.",243.76315730786,43.915
"Congo, Rep.",201.4641575972,53.38
Colombia,326.290299976627,60.91
Costa Rica,532.667136769547,66.439
Caribbean small states,800.164484454233,65.7361876885542
Cuba,653.232914785024,69.812
Germany,2750.71974235504,70.6397804878049
Denmark,3464.45699527623,73.3434146341463
Dominican Republic,329.860647543011,58.468
Algeria,334.259527686164,50.369
East Asia & Pacific (excluding high income),114.069149884051,58.3893359716109
Early-demographic dividend,223.882635603187,51.0366907770491
East Asia & Pacific,316.059343601048,59.9089070965428
Europe & Central Asia,1365.64319922145,68.9930416292632
Ecuador,471.385993013935,57.783
"Egypt, Arab Rep.",219.209952402701,52.155
Euro area,2231.9495725835,71.1583122930886
Spain,1208.99666177967,72.0273170731707
European Union,1934.77754565126,70.9988105065152
Finland,2467.47634653616,70.179512195122
Fiji,422.413510435661,59.857
France,2862.46926773347,71.6585365853659
Gabon,548.708013449813,46.698
United Kingdom,2347.54431773747,71.9731707317073
Ghana,257.651851638703,49.339
"Gambia, The",116.92061381309,37.824
Guinea-Bissau,110.607766837299,41.538
Equatorial Guinea,216.405163112502,39.738
Greece,1494.38785525349,70.9036341463415
Guatemala,338.682043021158,52.501
Guyana,379.893720546888,61.789
High income,2811.00807032169,70.5760291501914
"Hong Kong SAR, China",960.031961510704,71.386512195122
Honduras,266.135720383015,52.523
Heavily indebted poor countries (HIPC),152.699347872099,43.6866204110467
IBRD only,223.679371776752,57.039386023017
IDA & IBRD total,213.816992559933,55.2307378308688
IDA total,168.346800413734,46.5479787405589
IDA blend,207.058234753322,49.2844584219135
Indonesia,84.8434191958278,54.537
India,111.257570649242,47.721
Ireland,1488.2946985407,71.0314390243903
"Iran, Islamic Rep.",384.942179433737,50.856
Iraq,330.885201724653,58.199
Iceland,2597.38727189128,73.9339024390244
Israel,2369.0876485093,71.2134146341464
Italy,2099.91429122268,71.5587804878049
Jamaica,749.061695219713,68.324
Jordan,372.093731102268,60.171
Japan,2027.0658807455,71.950243902439
Kenya,142.497089288496,52.222
Cambodia,102.704327202559,41.566
Kiribati,279.324700939733,54.384
"Korea, Rep.",279.125197454549,62.1634146341463
Kuwait,3848.56973886819,66.027
Latin America & Caribbean (excluding high income),581.413101239338,60.1075262318182
Liberia,228.092541698758,39.254
Latin America & Caribbean,612.719967238927,60.4019911967897
Sri Lanka,183.927235822588,64.097
Lower middle income,145.23069157391,50.9033359532895
Low & middle income,209.58357468321,55.0884898238397
Lesotho,66.539494920377,49.037
Late-demographic dividend,239.791197734219,60.7693452690371
Luxembourg,4449.54038678192,69.9834634146341
Morocco,246.088042821043,52.572
Madagascar,169.070560104901,44.771
Middle East & North Africa,296.533502482559,52.9266132077517
Mexico,683.102190105793,61.369
Middle income,216.065220549577,55.9526098064843
Mali,60.4756500013375,32.388
Malta,828.421680335959,71.33
Mauritania,182.214984671331,49.13
Malawi,63.1079718012684,40.558
Malaysia,357.661864302881,64.445
North America,5140.49045945309,70.9854796049968
New Caledonia,3203.71144556442,63.0292682926829
Niger,144.090377359003,35.884
Nigeria,224.107455030034,40.97
Netherlands,2889.71479887468,73.5856097560976
Norway,3306.21947607769,74.0880487804878
Nepal,72.1770656120715,40.544
OECD members,2678.33071718298,69.5099492863649
Oman,354.07720920895,50.31
Other small states,282.285603464819,55.185091435258
Pakistan,172.610739157721,52.837
Panama,889.230098881129,65.529
Peru,557.093526521196,53.457
Philippines,186.768759913494,60.832
Papua New Guinea,255.396701128247,48.512
Pre-demographic dividend,90.9905654508469,43.2439155163847
Puerto Rico,1852.35467255335,71.5355365853659
Portugal,934.173980007822,67.0731707317073
Paraguay,221.800560854183,65.486
Post-demographic dividend,2784.12798701549,70.8342467820774
French Polynesia,2299.0723491307,60.184
Qatar,2755.73261675495,68.313
Rwanda,58.5690783507225,44.338
South Asia,118.870061124081,48.1096261476058
Saudi Arabia,921.345944098883,52.693
Sudan,175.001442391897,52.234
Senegal,240.712087253751,39.227
Singapore,925.287389444613,68.2794146341464
Sierra Leone,161.355342767598,34.601
El Salvador,308.815772795852,54.987
Sub-Saharan Africa (excluding high income),224.059802024295,44.5027721150378
Sub-Saharan Africa,224.067684867925,44.5027721150378
Small states,462.411299482859,58.3539538537079
Suriname,665.68266477767,63.268
Sweden,4669.43867205361,74.6492682926829
Swaziland,251.582816565346,48.041
Syrian Arab Republic,337.039583863198,58.814
Chad,128.793859120627,41.332
East Asia & Pacific (IDA & IBRD countries),115.328356741982,58.3727668142994
Togo,120.053880870366,46.568
Thailand,192.125664970391,59.387
Latin America & the Caribbean (IDA & IBRD countries),594.882404132583,59.982125192159
South Asia (IDA & IBRD),118.870061124081,48.1096261476058
Sub-Saharan Africa (IDA & IBRD countries),224.067684867925,44.5027721150378
Trinidad and Tobago,868.769642058662,65.081
Tunisia,284.412091628008,51.145
Turkey,489.930775037911,52.286
Uganda,133.397787016205,48.827
Upper middle income,274.109362234899,60.1875161108436
Uruguay,760.585982075451,68.617
United States,5246.88371730098,70.8073170731707
St. Vincent and the Grenadines,203.975589262813,65.1
"Venezuela, RB",1108.82124299557,64.569
Virgin Islands (U.S.),3450.12288108892,69.0511951219512
World,802.488497408439,58.6533482244209
South Africa,806.413063053364,55.852
Zambia,437.30646869944,49.039
Zimbabwe,364.054360271566,54.92
