Data Source,World Development Indicators,
Last Updated Date,2/05/2018,
,,
Country Name,GDP per capita,Life expectancy at birth
Aruba,20620.7006259175,73.787
Angola,555.296941863334,47.113
Albania,1175.78898079471,73.955
Arab World,2589.64845011183,67.6949397276557
United Arab Emirates,33071.2686869422,74.239
Argentina,7669.27391554066,73.832
Armenia,622.742747687983,71.409
Antigua and Barbuda,9932.02968138506,73.541
Australia,21690.9209985418,79.2341463414634
Austria,24564.4582948404,78.1268292682927
Azerbaijan,655.097432602586,66.763
Burundi,135.998445465725,51.545
Belgium,23207.4059110078,77.7219512195122
Benin,374.192394159235,55.391
Burkina Faso,226.47598136698,50.489
Bangladesh,405.603307141767,65.324
Bulgaria,1609.2805861652,71.6634146341464
Bahrain,13636.3466837798,74.44
"Bahamas, The",21241.23669811,72.37
Bosnia and Herzegovina,1461.75052047029,74.413
Belarus,1276.2880341,68.9121951219512
Belize,3364.42371065241,68.329
Bermuda,56284.1686478094,77.8853658536585
Bolivia,1007.00286888451,60.69
Brazil,3739.1190359679,70.055
Barbados,11567.6661219135,73.377
Brunei Darussalam,18008.4482589612,75.202
Bhutan,765.863235765695,60.758
Botswana,3349.06882277651,49.03
Central African Republic,243.542931743829,43.937
Canada,24124.169174631,79.2365853658537
Central Europe and the Baltics,3946.53732077063,72.7196903521431
Switzerland,37868.3230595798,79.6804878048781
Channel Islands,43299.401141101,77.602
Chile,5101.36847857517,76.793
China,959.372483639691,71.955
Cote d'Ivoire,642.254713999242,46.672
Cameroon,660.192697065032,50.026
"Congo, Dem. Rep.",405.46965309375,50.041
"Congo, Rep.",998.196892059858,51.397
Colombia,2472.19783098297,71.019
Comoros,375.852856584753,59.46
Cabo Verde,1239.37785465723,69.747
Costa Rica,3808.36368918324,77.448
Caribbean small states,4939.24208601187,70.2037685439382
Cuba,2741.11054194091,76.658
Cyprus,14672.882058494,78.01
Czech Republic,6011.61522035701,74.9682926829268
Germany,23718.746699471,77.9268292682927
Djibouti,768.17607674712,57.021
Denmark,30743.5591735847,76.5926829268293
Dominican Republic,2802.4200417874,70.568
Algeria,1757.01779715994,70.292
East Asia & Pacific (excluding high income),961.34888140798,70.594312681957
Early-demographic dividend,1323.80012117783,64.4860730448729
East Asia & Pacific,4050.44981284449,71.5790095318242
Europe & Central Asia (excluding high income),1813.34217803306,67.721500924881
Europe & Central Asia,11626.213325646,73.0708005190979
Ecuador,1451.2907755099,72.933
"Egypt, Arab Rep.",1428.18300429537,68.613
Euro area,20190.1888656453,78.2748926912842
Eritrea,208.196948652283,55.258
Spain,14676.7060880232,78.9658536585366
Estonia,4070.03282698714,70.4170731707317
Ethiopia,123.876205729993,51.94
European Union,18256.5150261148,77.158685234044
Fragile and conflict affected situations,635.548779038035,56.3122824058707
Finland,24253.2504245786,77.4658536585366
Fiji,2076.01330767665,67.553
France,22465.6411038272,79.0560975609756
Faroe Islands,22479.578988392,78.4853658536585
"Micronesia, Fed. Sts.",2170.9202099933,67.3
Gabon,4116.46069260227,59.302
United Kingdom,27982.3557635787,77.7414634146342
Georgia,691.997710105302,71.907
Ghana,263.112467866077,56.994
Guinea,340.051691750487,51.181
"Gambia, The",635.563758415104,55.924
Guinea-Bissau,297.751944288718,52.27
Equatorial Guinea,1702.68490100276,52.752
Greece,12042.9537310995,77.8878048780488
Grenada,5117.58992285272,70.337
Greenland,19004.1072910304,66.9634146341464
Guatemala,1655.59626071709,67.849
Guyana,946.059937166567,64.93
High income,25768.9582489055,77.6179767214086
"Hong Kong SAR, China",25756.6637783278,80.8780487804878
Honduras,1088.78316504268,70.537
Heavily indebted poor countries (HIPC),328.170797580809,52.2011921624773
Croatia,4919.62806870834,72.8078048780488
Haiti,462.480652433476,57.716
Hungary,4633.31292266249,71.2463414634146
IBRD only,1451.85628577925,68.246523534227
IDA & IBRD total,1224.97423075528,65.6574566532454
IDA total,392.897563820807,56.1575725727396
IDA blend,486.553963449843,55.2883116743184
Indonesia,830.584587948741,66.285
IDA only,346.335271790234,56.5901722997632
India,438.864630447013,62.582
Ireland,26241.514512914,76.5365853658537
"Iran, Islamic Rep.",1657.16974761083,70.144
Iceland,31813.3734408597,79.6536585365854
Israel,21042.9816003225,78.9536585365854
Italy,20051.2421548342,79.7780487804878
Jamaica,3360.87040221693,72.327
Jordan,1657.88925631214,71.73
Japan,38532.0408752935,81.0760975609756
Kazakhstan,1229.00095844501,65.5170731707317
Kenya,403.979713221115,51.751
Kyrgyz Republic,279.620523320888,68.5585365853659
Cambodia,300.685094942824,58.432
Kiribati,796.793763441361,64.001
"Korea, Rep.",11947.5791282061,75.909756097561
Kuwait,18389.384328289,73.16
Latin America & Caribbean (excluding high income),4141.57296283579,71.3120061118444
Lao PDR,324.845049645308,58.923
Lebanon,5334.90332854286,74.447
Liberia,183.414999088237,52.423
Libya,7145.62849363423,70.473
St. Lucia,4996.26771895471,71.456
Latin America & Caribbean,4310.15145027928,71.5298314829906
Least developed countries: UN classification,309.899158375262,55.729413039882
Low income,266.403599701234,52.3591663291923
Liechtenstein,74624.5599589883,76.8268292682927
Sri Lanka,869.495692083353,71.002
Lower middle income,574.220984384391,62.7910621835247
Low & middle income,1182.00026481262,65.5810010646836
Lesotho,474.819790600388,48.405
Late-demographic dividend,1661.18075935026,71.2171637413152
Lithuania,3297.35470084106,72.0195121951219
Luxembourg,48735.995492187,77.8731707317073
Latvia,3352.7312961928,70.3146341463415
"Macao SAR, China",15702.8555275752,80.407
Morocco,1332.3823579804,68.722
Moldova,354.003731878172,67.006
Madagascar,245.939065850803,58.485
Maldives,2226.72172907378,69.936
Middle East & North Africa,3049.29839377576,69.7955532072658
Mexico,6720.9021132712,74.364
Marshall Islands,2126.91385954485,65.2390243902439
Middle income,1266.84066542709,66.7961117198172
"Macedonia, FYR",1854.14595610107,73.267
Mali,269.348382916517,48.069
Malta,11039.0565074511,78.2
Myanmar,193.187480441924,62.133
Middle East & North Africa (excluding high income),1607.58830970522,69.2655244373117
Montenegro,1627.04289333871,73.228
Mongolia,474.213336086127,62.869
Mozambique,277.648659095599,48.348
Mauritania,477.476102358603,60.049
Mauritius,3861.03241429329,71.6634146341464
Malawi,153.259508675372,46.45
Malaysia,4045.17047135901,72.8
North America,35242.0641955061,76.8924319640994
Namibia,2057.9950568159,55.608
New Caledonia,12579.5951055864,75.1634146341464
Niger,158.405597226702,49.874
Nigeria,379.119326364064,46.266
Nicaragua,1016.02074305227,69.742
Netherlands,25921.1279408277,77.9878048780488
Norway,38146.7153917477,78.6341463414634
Nepal,231.425500390656,62.386
New Zealand,13641.1027183822,78.6365853658537
OECD members,23671.3087323022,77.0812213282712
Oman,8601.18590579376,72.126
Other small states,4374.49230151488,60.7265064948918
Pakistan,533.862411433568,62.727
Panama,4060.299035061,75.084
Peru,1996.71968884026,70.512
Philippines,1038.91097695803,67.17
Palau,7709.65319426336,70.4936585365854
Papua New Guinea,631.946852583523,61.832
Poland,4492.72760355938,73.7487804878049
Pre-demographic dividend,383.484797294768,50.7261968076621
Puerto Rico,16192.1269719638,76.6892682926829
Portugal,11502.3968126428,76.3146341463415
Paraguay,1545.62642252867,70.07
West Bank and Gaza,1476.17185000238,70.778
Pacific island small states,1754.99145531507,66.7183349574985
Post-demographic dividend,25765.6913540909,77.3662747817723
French Polynesia,14530.7772043155,72.313
Qatar,29986.2901527354,76.279
Romania,1668.16273119678,71.1634146341464
Russian Federation,1771.58660190996,65.4836585365854
Rwanda,216.172747044553,48.415
South Asia,443.347047024535,62.8652218301737
Saudi Arabia,9126.95427680596,72.44
Sudan,361.030584348967,58.43
Senegal,473.450033807704,57.796
Singapore,23792.6070703118,77.9512195121951
Solomon Islands,1054.5185720259,63.103
Sierra Leone,139.314773381037,38.702
El Salvador,2238.40101601568,68.834
Serbia,870.136525159338,71.5829268292683
Sub-Saharan Africa (excluding high income),549.014416737675,50.5370102327548
Sub-Saharan Africa,549.871461216126,50.5397008145372
Small states,4324.84540105504,63.2017216176221
Suriname,1888.61828984397,67.838
Slovak Republic,5402.9297536132,73.0512195121951
Slovenia,10227.7367703685,75.4121951219512
Sweden,29283.0050461572,79.6439024390244
Swaziland,1637.45007202339,48.521
Seychelles,7578.85105298845,72.7780487804878
Syrian Arab Republic,1177.62926773348,73.11
Chad,166.023178471673,47.593
East Asia & Pacific (IDA & IBRD countries),971.658042349725,70.662426224485
Europe & Central Asia (IDA & IBRD countries),2048.81100973976,68.2511882418047
Togo,260.393293531231,53.489
Thailand,2007.56482637453,70.624
Tajikistan,138.43660333475,65.485
Turkmenistan,643.175010826862,63.613
Latin America & the Caribbean (IDA & IBRD countries),4225.98846409543,71.375511022126
Timor-Leste,402.006652686642,59.36
Middle East & North Africa (IDA & IBRD countries),1608.79492444594,69.2496281846182
Tonga,2063.20723639742,70.811
South Asia (IDA & IBRD),443.347047024535,62.8652218301737
Sub-Saharan Africa (IDA & IBRD countries),549.871461216126,50.5397008145372
Trinidad and Tobago,6430.94726192111,68.532
Tunisia,2213.91408810372,73.155
Turkey,4316.55389456022,70.008
Tanzania,306.723827307922,51.493
Uganda,257.630360929239,47.077
Ukraine,635.708963537223,67.859512195122
Upper middle income,1976.25229594495,70.8979175416674
Uruguay,6871.89767748079,74.805
United States,36449.8551155349,76.6365853658537
Uzbekistan,558.221143977787,67.154
St. Vincent and the Grenadines,3672.63526664072,70.593
"Venezuela, RB",4783.53059167799,72.281
