DBH (cm),Height (m)
134.68,45.62
64.38,30.1
47.96,28.42
38.75,24.87
40.95,24.99
61.66,28.08
52.88,23.64
59.24,31.77
45.01,30.15
74.4,32.63
44.61,24.79
54.39,26.11
39,23
64.48,28.51
74.21,32.34
63.18,29.9
71.43,32.72
51.52,27.48
64.61,29.56
68.16,31.63
82.71,37.42
58.28,28.4
50.62,25.15
60.56,28.68
50.59,27.26
73.12,32.74
57.19,28.23
51.91,30.84
42.13,24.69
49.78,26.19
55.26,25.81
81.77,35.03
70.16,31.91
48.78,26.24
79.54,33.98
77.3,33.35
42.53,22.09
36.73,22.11
62.33,29.65
71.75,32.53
43.69,24.03
54.59,25.72
68.51,30.52
61.09,33.59
67.41,34.54
49.79,26.9
62.82,29.41
46.27,24.47
56.64,27.25
60.68,30.06
62.46,30.12
47.98,26.16
58.64,28.78
42.02,23.92
49.9,26.03
39.04,24.11
47.13,24.11
61.93,29.22
57.45,26.98
62.4,31.3
66.12,35.78
66,29.17
84.22,38.26
91.94,38.4
87.6,36.79
68.61,31.07
49.32,24.48
60.39,28.15
52.31,24.89
52.31,24.98
61.44,27.53
40.47,22.09
67.55,31.58
61.19,28.25
59.97,26.15
47.67,24.94
63.14,28.05
63.49,28.28
58.69,26.84
73.92,31.74
84.07,34.94
81.09,35.17
70.98,32.7
54.32,23.8
61.46,27.7
61.7,29.66
59.86,28.83
61.44,28.13
54.15,27.84
55.21,27.28
57.66,27.94
63.36,29.45
64.82,34.89
36.05,22.7
60.95,27.86
46.65,25.88
72.85,31.93
56.72,26.78
62.18,33.78
66.8,30.55
80.08,34.4
75.94,32.25
56.4,28.67
60.72,30.14
51.45,27.65
65.18,32.97
45.53,25.76
52.92,21.53
57.38,27.79
52.8,28.17
28.08,19.65
62.21,30.01
52.95,27.33
52.89,24.67
55.03,30.43
66.91,36.1
61.52,31.6
55.16,24.75
52.63,25.97
53.91,26.53
53.07,22.29
57.62,25.93
63.65,28.38
56.37,26.48
43.62,25.11
52.29,27.69
49.34,24.89
62.39,30.05
72.86,35.13
43.27,27.7
61.01,29.57
56.71,28.38
77.8,33.77
65.56,31.98
61.23,29.79
66.18,31.35
66.2,31.86
68.64,31.39
49.94,22.24
53.69,26.97
42.82,24.05
56.14,26.36
53.73,27.43
53.71,26.3
58.59,27.99
57.04,26.42
46.4,28.17
61.61,29.82
66.4,31.82
52,26.84
59.33,28.48
67.7,34.35
62.88,29.73
64.79,32.29
58.8,30.04
51.51,28.49
51.23,27.1
57.33,32.21
54.93,29.06
74.27,31.5
59.06,28.31
48.66,24.9
40.84,22.34
58.89,28.95
54.15,27.93
56.55,27.29
58.84,28.01
44.57,26.33
59.21,28.88
46.63,25.11
48.94,23.99
66.13,33.92
50.8,27.26
43.8,25.18
26.35,18.48
58.72,28.82
68.13,31.83
44.56,21.14
44.79,19.61
78.46,34.71
74.19,36
75.55,33.91
49.03,24.98
47.05,24.1
53.03,27.64
47.1,24.93
45.03,24.89
47.42,26.36
53.84,26.98
47.76,26.75
51.76,26.79
45.13,24.66
63.41,29.36
58.06,28.64
33.41,18.46
38.5,19.47
45.21,24.13
69.59,33.36
66.5,36.09
51.2,28.54
39.71,23.85
63.72,31.23
45.41,24.33
49.3,24.29
59.32,28.28
43.36,21.72
67.96,31.17
40.25,21.4
49.4,25.83
51,25.69
57.33,27.34
65.54,28.88
77.16,35.48
69.95,32.17
56.62,28.02
51,26.93
44.16,23.95
30.22,19.97
40.87,22.81
55.11,25.85
52.65,24.2
41.6,22.54
51.95,25.31
52.27,22.89
65.67,34.85
103.76,39.16
29.24,17.35
62.78,32.55
42.47,23.98
59.38,28.83
49.22,24.33
59.88,30.05
34.74,23.61
47.89,26.3
54.2,32.83
54.75,25.88
56.92,30.5
35.57,21.48
42.99,24.94
55.37,26.56
40.51,22.02
43.01,22.8
44.26,22
38.86,21.73
37.49,19.66
31.03,19.26
32.07,19.8
32.55,19.66
40.03,20.59
39.3,21.6
38.28,20.82
43.52,21.46
70.35,32.79
60.6,28.7
55.9,28.51
66.39,30.92
36.59,20.88
27.78,20.09
43.01,22.5
32.65,20.27
61.4,28.06
64.98,29.85
46.25,24.68
36.86,23.83
44.98,24.5
32.71,22.03
59.14,28.46
47.88,24.86
52.48,25.09
49.62,24.08
44.9,24
63.55,30.83
54.3,26.93
91.93,38.63
58.47,26.8
36.57,21.24
32.26,18.45
31.73,22.07
64.13,28.73
76.18,35.85
63.54,30.37
59.3,28.44
47.07,27.17
50.43,26.05
49.41,26.8
37.11,20.86
35.96,22.06
41.23,21.03
45.54,22.83
49.81,24.28
49.81,24.75
45.43,21.6
39.78,21.83
41.62,22.56
62.19,25.43
47.05,23.12
80.72,35.96
59.9,27.77
100.66,40.49
54.06,27.71
102.15,40.59
56.45,26.6
48.13,24.12
48.5,26.05
68.22,30.37
66.65,30.6
32.84,19.13
66,30.87
74.58,32.84
38.39,22.62
43.81,23.28
40.69,22.5
34.94,21.89
44.24,23.2
45.66,23.46
51.03,25.51
49.67,24.67
37.51,24.29
45.04,24.81
44.07,26.68
50.38,25.8
55.03,27.1
53.79,29.18
41.46,23.11
43.48,22.61
34.4,19.8
34.18,19.15
37.15,23.74
40.17,23.52
47.29,25.5
46.13,25.36
50.82,27.14
36.78,20.23
36.27,22.88
62.52,30.54
70.45,31.17
58.22,28.77
53.58,27.98
57.72,28.59
40.41,20.13
39.84,23.05
39.72,20.4
42.3,21.98
62.09,27.88
55.12,27.03
54.66,24.79
54.31,26.81
51.8,25.58
56.9,28.23
38.06,21.36
37.89,21.77
36.09,19.41
35.79,21.11
30.08,20.06
35.96,20.17
36.43,20.44
34.59,21.32
35.43,21.7
36.37,21.17
38.85,21.95
47.76,23.01
38.88,21.49
45.11,22.66
41.14,22.02
40.03,22.3
34.13,20.39
38.96,21.8
38.51,22.6
34.97,22.07
42.49,22.51
35.99,21.73
35.81,21.44
46.95,21.85
43.85,25.05
41.59,20.8
46.58,24.4
59.31,26.37
61.72,22.75
45.06,23.95
39.99,23.98
46.6,24.77
47.36,24.34
55.24,26.56
38.46,20.17
33.46,20.49
85.83,35.24
45.81,26.06
44.12,23.32
49.54,24
46.42,25.68
50.4,28.74
47.5,25.6
48.93,25.63
57.15,27.98
52.7,27.06
51.97,22.94
49.75,24.9
47.93,23.52
52.51,23.77
43.56,20.5
53.93,23.84
50.75,24.43
48.53,24.45
45.15,21.76
47.75,21.99
35.09,20.29
41.65,20.42
31.01,17.58
37.46,20.07
35.16,20.28
32.73,18.8
35.41,19.88
38.09,22.9
40.13,22.92
35.76,20.35
56.33,25.91
50.31,26.19
35.02,19.49
42.11,20.98
42.58,24.19
41.48,22.08
37.08,19.35
66.94,32.27
74.29,33.23
46.46,24.98
37.41,22.3
73.76,36.06
48.03,25.07
52.55,27.72
29.31,21.68
66.4,29.44
48.47,25.38
59.46,29.05
37.89,18.75
50.86,26.34
51.29,24.34
39.9,24.61
54.99,27.35
46.81,26.11
60.78,29.5
50.16,26.57
47.16,24.82
49.69,23.77
62.22,30.91
53.27,28.36
53.55,28.3
63.43,28.77
49.06,25.77
69.95,32.12
71.19,33.28
34.11,22.02
68.23,31.85
73.59,31.54
45.88,24.69
54.78,27.93
52.47,27.25
49.33,26.88
40.48,23.61
42.15,24.42
57.98,28.63
53.3,31.01
37.41,22.06
35.04,23.19
53.57,28.66
70.04,33.35
55.16,24.19
46.58,25.76
54.74,28.37
47.12,24.94
57.52,27.72
67.04,29.31
44.52,21.47
47.19,24.33
46.95,23.39
49.52,22.24
71.94,29.62
55.36,26.97
57.97,27.43
61.13,27.98
53.05,26.43
82.61,33.73
73.38,33.09
56.2,27.84
56.18,26.83
63.59,28.23
60.75,28.5
56.63,27.23
62.23,31.78
51.02,26.09
73.31,36.05
